season,episode,timestamp,speaker,text
1,1,00:39:24,Mark,"True.
Devon: It was low-hanging fruit."
1,1,00:39:26,Ricken,He did. He was a misdiagnosed alcoholic.
1,1,00:39:28,Danise,"Now, Mark, Ricken told Rebeck and me that you’re a former history professor."
1,1,00:39:32,Mark,Yeah.
1,1,00:39:33,Danise,"So, I’m curious for your take on all of this. The food v life of it."
1,1,00:39:41,Mark,"Well, I’m not sure. I taught mostly about World War I."
1,1,00:39:44,Patton,"Okay. Well, I got one for you. I was just reading this think piece about the comparative levels of violence and warfare throughout history."
1,1,00:39:53,Ricken,Nerd alert.
1,1,00:39:54,Patton,"War porn, I know."
1,1,00:39:56,Patton,"But anyway, in it, he said that the people actually called it the Great War. Apparently, it would have been a faux pas to have called it World War I."
1,1,00:40:06,Ricken,Is that right?
1,1,00:40:11,Mark,"Well, you know, no one would’ve called it World War I ’cause World War II hadn’t happened yet."
1,1,00:40:21,Danise,"Wow.
Ricken: Of course."
1,1,00:40:23,Patton,"That’s absolutely right.
Ricken: Duh."
1,1,00:40:25,Rebeck,That’s so true.
1,1,00:40:26,Devon,This is why we bring this guy.
1,1,00:40:28,Ricken,"Mark’s late wife, Gemma, was an educator as well. Russian literature."
1,1,00:40:32,Rebeck,"I love literature.
Ricken: Right?"
1,1,00:40:35,Ricken,But Mark is a Lumon man now.
1,1,00:40:37,Devon,"Ricken.
Patton: Really?"
1,1,00:40:39,Mark,Yeah. About two years.
1,1,00:40:41,Rebeck,"Do you design the medicines?
Mark: No."
1,1,00:40:43,Patton,I thought Lumon was more on the tech side of things.
1,1,00:40:45,Danise,"They began in the 1800s.
Ricken: Really?"
1,1,00:40:47,Danise,"Topical salves, right?"
1,1,00:40:49,Rebeck,What don’t they make?
1,1,00:40:51,Mark,"Yeah, but I’m in the corporate archives division, so…"
1,1,00:40:54,Patton,So you know all the dirty secrets.
1,1,00:40:57,Mark,"No, not really.
Ricken: No."
1,1,00:40:59,Ricken,Mark’s work is sensitive enough as to require the severance procedure.
1,1,00:41:07,Danise,Well.
1,1,00:41:10,Danise,"That’s something, isn’t it?"
1,1,00:41:14,Devon,"Yeah. It’s also, I think, something that’s his choice to tell people or not."
1,1,00:41:17,Devon,"Right, Ricken?
Ricken: Oh, my God."
1,1,00:41:18,Mark,"No. No.
Ricken: Oh, God, Mark."
1,1,00:41:20,Ricken,"Please forgive me.
Mark: No. It’s okay. I don’t care."
1,1,00:41:22,Ricken,"My apologies.
Danise: No, I think it’s fascinating."
1,1,00:41:25,Danise,"I mean, I wish I could do it. I’d just always be thinking about, you know, the other one."
