season,episode,timestamp,speaker,text,before_colon
1,5,00:12:22,Devon,"I’m good.
Ricken: Yeah?",Ricken
1,5,00:12:24,Devon,"Yeah, I’m gonna go get coffee.
Ricken: Really?",Ricken
1,5,00:12:29,Ricken,"Are you sure? Um…
Devon: Thank you. Oh, thanks, bud.",Devon
1,5,00:12:34,Devon,"All right. I’ll be back.
Ricken: Yeah.",Ricken
1,5,00:14:39,Gabby,"Lotta help, I guess.
Devon: Yeah.",Devon
1,5,00:16:25,Devon,"I bet you could ask her.
Mark: Oh. Okay.",Mark
1,5,00:16:29,Devon,"Ah.
Mark: You okay? Do you want me to go get her?",Mark
1,5,00:16:43,Mark,"Need me to tell a secret?
Devon: Yeah, go ahead.",Devon
1,5,00:17:37,Devon,"Why do people do this?
Mark: Uh, I’ll go get Alexa.",Mark
1,5,00:17:39,Ricken,"Great.
Devon: Don’t touch me, baby.",Devon
1,5,00:17:42,Ricken,"Okay.
Devon: Ah!",Devon
1,5,00:17:45,Alexa,"One more big push.
Ricken: Oh, my God.",Ricken
1,5,00:17:47,Alexa,"She’s right here. She’s right here. You’re doing so great.
Devon: Ah!",Devon
1,5,00:17:50,Devon,"It hurt… It hurts.
Alexa: I know it hurts but she’s right here.",Alexa
1,5,00:17:54,Alexa,"I can see her. She’s crowning. Okay?
Devon: Oh, my God.",Devon
1,5,00:18:24,Devon,"Oh, my God.
Alexa: She’s coming.",Alexa
1,5,00:25:18,Irving,"I could ask…
Dylan: Your new friend,",Dylan
1,5,00:30:54,Irving,"Mark took her to look at pen caps.
Ms. Casey: Where?",Casey
1,5,00:30:58,Ms. Casey,"Now?
Dylan: They’re fine.",Dylan
1,5,00:31:52,Irving,"Dylan! Oh, my God! What are…
Burt: Irving.",Burt
1,5,00:31:56,Dylan,"He was coming at you.
Irving: Let him out!",Irving
1,5,00:31:57,Dylan,"Out? Why the fuck is he here?
Irving: Let him out!",Irving
1,5,00:31:59,Burt,"What’s wrong with you?
Dylan: You saw that painting.",Dylan
1,5,00:32:12,Irving,"I… We…
Dylan: I know what you’re up to.",Dylan
1,5,00:32:14,Burt,"What is wrong with you? Open the door.
Irving: Manager!",Irving
1,5,00:32:18,Irving,"We need a manager. We need a manager.
Burt: Irving!",Burt
1,5,00:33:19,Burt,"If I could just explain…
Dylan: Save it, marauder.",Dylan
1,5,00:33:56,Irving,"A joke?
Burt: To say when I got in.",Burt
1,5,00:34:16,Dylan,"You? The king of fucks don’t trust us?
Burt: I do.",Burt
1,5,00:34:32,Irving,"Pouches? Like to c-carry young?
Burt: Yes.",Burt
1,5,00:34:50,Irving,"Yeah.
Burt: Though, I’d be remiss not to say",Burt
1,5,00:35:00,Irving,"Oh.
Burt: Which, Irving, would solve the mystery…",Burt
1,5,00:35:17,Irving,"Excuse me.
Burt: Where are you going?",Burt
1,5,00:37:17,Burt,"I’m… I’m sorry you had to do this.
Irving: It’s all right.",Irving
1,5,00:38:38,Burt,"Mmm.
Irving: Hmm.",Irving
1,5,00:38:52,Dylan,"Get away from him! You lying fuck!
Burt: Dylan, what?",Burt
1,5,00:38:55,Irving,"Dylan!
Dylan: He claims he doesn’t know",Dylan
1,5,00:38:59,Burt,"That isn’t.
Irving: Irv, we need to go. Now.",Irving
1,5,00:39:04,Dylan,"What?
Irving: Look.",Irving
1,6,00:01:02,Cobel,"Reghabi.
Graner: Yep.",Graner
1,6,00:05:43,Burt,"Always around.
Irving: Yes.",Irving
1,6,00:07:47,Gabby,"Oh, hello.
Devon: Hi.",Devon
1,6,00:08:06,Devon,"You changed it?
Angelo: Did we leave the juice boxes in the car?",Angelo
1,6,00:08:17,Angelo,"Congratulations there.
Devon: Oh, thank you.",Devon
1,6,00:08:26,Angelo,"Nice to meet you too, Devon.
Devon: Yeah. You too.",Devon
1,6,00:08:38,Gabby,"Bye. Bye.
Devon: Bye, you guys.",Devon
1,6,00:10:08,Helly,"Now, once we’ve mapped the whole floor…
Irving: To be clear, I do not approve of mapping.",Irving
1,6,00:10:58,Dylan,"Really?
Mark: Yeah.",Mark
1,6,00:11:02,Dylan,"You never smile at me.
Irving: He’s right, Mark.",Irving
1,6,00:11:16,Mark,"We’re…
Irving: Dis…",Irving
1,6,00:11:18,Mark,"Discussing the…
Irving: Yes, Mrs…",Irving
1,6,00:11:20,Mark,"Ms. Casey. Ms. Casey.
Irving: Ms. Casey. Yeah.",Irving
1,6,00:13:28,Helly,"You think so?
Dylan: No.",Dylan
1,6,00:18:32,Irving,"He is?
Burt:  He is.",Burt
1,6,00:22:52,Mark,"Latching difficulties?
Alexa: Yes.",Alexa
1,6,00:23:09,Alexa,"Ricken? Yes.
Mark: …Ricken.",Mark
1,6,00:24:08,Mark,"I feel like…
Alexa: No, I think it’s also healthy.",Alexa
1,6,00:24:46,Mark,"Oh, no, but you can, Alexa.
Alexa: Oh, shit.",Alexa
1,6,00:24:52,Alexa,"Walked right into that.
Mark: Yes, you did.",Mark
1,6,00:25:40,Ricken,"Love?
Devon: Yeah?",Devon
1,6,00:25:43,Ricken,"She’s here.
Devon: Yeah.",Devon
1,6,00:25:52,Cobel,"Love it.
Devon: Okay. My girl. There’s my girl.",Devon
1,6,00:26:13,Ricken,"So serendipitous.
Cobel: I know.",Cobel
1,6,00:26:26,Cobel,"You had a vaginal birth, yes?
Devon: Oh, yeah.",Devon
1,6,00:26:37,Ricken,"We are talking to a few candidates.
Cobel: Of course.",Cobel
1,6,00:26:41,Devon,"Sorry. Sorry.
Ricken: Yeah.",Ricken
1,6,00:31:36,June,"The guy from work.
Mark: Yeah.",Mark
1,6,00:31:53,Alexa,"Hey. You guys are really good.
June: Yeah.",June
1,6,00:32:02,June,"Write what you know, right?
Mark: Yeah.",Mark
1,6,00:32:09,June,"Really?
Mark: Yeah.",Mark
1,7,00:03:46,Reghabi,"Grab his arms.
Mark: What?",Mark
1,7,00:04:20,Mark,"I’m gonna throw up right now.
Reghabi:  Don’t! Don’t! Don’t!",Reghabi
1,7,00:08:09,Mark,"Oh, hey.
Alexa: Hey.",Alexa
1,7,00:08:17,Alexa,"Yeah.
Mark: Just…",Mark
1,7,00:10:30,Mark,"Hey.
Cobel: You’re out early in all this snowiness.",Cobel
1,7,00:12:34,Burt,"So early.
Milchick: Please, sit.",Milchick
